id,invoice_number,po_id,supplier_id,lender_id,amount,invoice_date,due_date,description,invoice_fingerprint,status,is_fraudulent,fraud_type
558,INV-202511-000558,619.0,40,8,698287.67,2025-11-05,2025-12-05,Front-line content-based matrices,a05d6a03cde26446d2cdfb100b06e31c,approved,False,
559,INV-202510-000559,620.0,40,4,334274.14,2025-10-08,2025-11-07,Profound didactic parallelism,e3019ab99e84e35f6dfbf61d1c8333fe,approved,False,
560,INV-202510-000560,621.0,40,7,980901.25,2025-10-04,2025-11-03,Versatile zero-defect algorithm,29ab9b69914d66af6054ec26a457dd46,approved,False,
561,INV-202505-000561,622.0,40,8,195092.03,2025-05-23,2025-06-22,Secured 5thgeneration superstructure,628cfefd234a706a7c9c7c7bd9a913f8,paid,False,
562,INV-202504-000562,623.0,36,6,903523.76,2025-04-26,2025-05-26,Automated coherent functionalities,99d539965f3d5e8ea66f5b1d1e35fa03,paid,False,
563,INV-202506-000563,624.0,36,7,398819.14,2025-06-23,2025-07-23,Inverse zero administration function,0a42d9f1c6d39a82c262d9486c141bc6,paid,False,
564,INV-202506-000564,625.0,36,3,1619107.91,2025-06-15,2025-07-15,Object-based systematic strategy,0d8ef90b9809c2b1f7f75fd0ced8450c,paid,False,
565,INV-202507-000565,626.0,36,7,540756.4,2025-07-05,2025-08-04,Object-based explicit strategy,81054409de67aaebface95ada25bc55c,approved,False,
566,INV-202506-000566,627.0,36,1,1439682.99,2025-06-28,2025-07-28,Organic multi-state parallelism,b8f896186296ea9fb912ff77ee7e6df1,paid,False,
567,INV-202505-000567,628.0,36,7,868693.57,2025-05-25,2025-06-24,Open-source next generation open system,c86bbfa4e3061af6571f4f1fb342785a,approved,False,
568,INV-202509-000568,629.0,36,5,1003128.77,2025-09-01,2025-10-01,Advanced content-based matrix,56327b28b71fe5e06e28ef17e1840d0b,approved,False,
569,INV-202601-000569,630.0,20,2,3931263.82,2026-01-05,2026-02-04,Multi-layered mobile superstructure,bd133160247246e906df0153cca4fc16,approved,False,
570,INV-202601-000570,631.0,20,3,1569670.35,2026-01-12,2026-02-11,Proactive discrete concept,6daca090be5c7d0fedc9a0433cb11dc6,approved,False,
571,INV-202602-000571,632.0,20,1,4206589.3,2026-02-11,2026-03-13,Open-source disintermediate knowledgebase,6151dc2b12abb14a6411a88933d18671,approved,False,
572,INV-202505-000572,633.0,20,1,3873393.65,2025-05-03,2025-06-02,Networked hybrid middleware,baaf5af96c778dc1c25a25b2808925e7,approved,False,
573,INV-202601-000573,634.0,20,3,1358027.82,2026-01-02,2026-02-01,Ameliorated next generation monitoring,d499e64ebd6fab0ee4caae2bc961576a,paid,False,
574,INV-202602-000574,635.0,20,4,2744723.21,2026-02-19,2026-03-21,Re-engineered 6thgeneration strategy,cfa69a86c649a6bc41588c7278edb993,approved,False,
575,INV-202509-000575,636.0,20,4,1999815.55,2025-09-06,2025-10-06,Balanced multi-state flexibility,619446217ab6b6cef074e3ab0f1e289d,approved,False,
576,INV-202508-000576,637.0,20,4,1027278.25,2025-08-18,2025-09-17,Fully-configurable system-worthy frame,bdcafc5c83ab0141e7883c009fed6285,paid,False,
577,INV-202511-000577,638.0,20,7,2129661.39,2025-11-11,2025-12-11,Team-oriented uniform paradigm,c34bc88b48f3d78c72a5420d825aa2f0,approved,False,
578,INV-202512-000578,640.0,20,4,1054489.12,2025-12-21,2026-01-20,Decentralized uniform website,0ed084b9a47b88ee02bebf73a144c951,approved,False,
579,INV-202509-000579,643.0,20,7,1437651.58,2025-09-03,2025-10-03,Cross-group directional collaboration,8dc8c703c3c2d9143658ff758da3a484,approved,False,
580,INV-202504-000580,644.0,20,5,645400.54,2025-04-03,2025-05-03,Reduced modular conglomeration,0439044bf5b39a5fefc04d3cd8d40be0,approved,False,
581,INV-202602-000581,645.0,29,5,5633180.8,2026-02-09,2026-03-11,Pre-emptive systematic projection,a7bc9039e7b5a3c1f149efae0de2b09d,approved,False,
582,INV-202601-000582,647.0,29,7,7222817.19,2026-01-01,2026-01-31,Cross-platform coherent definition,1af6ec08450a85180e6b830b36c89d0b,approved,False,
583,INV-202506-000583,648.0,29,5,6357480.2,2025-06-17,2025-07-17,Networked attitude-oriented extranet,89764856f61ff6428ad903ffb1c08d10,approved,False,
584,INV-202602-000584,649.0,29,1,4620798.07,2026-02-23,2026-03-25,Ameliorated didactic archive,6033a6da923013d9c76c7e1a166428f7,approved,False,
585,INV-202505-000585,650.0,29,3,3517893.06,2025-05-23,2025-06-22,Cloned leadingedge leverage,8644e2dfa53cb75f7dba87d5845e72a4,approved,False,
586,INV-202511-000586,651.0,29,3,5014058.18,2025-11-22,2025-12-22,Open-architected upward-trending application,c897ef5f84508707828a8f1f5cc7aaa1,paid,False,
587,INV-202507-000587,652.0,29,3,8765875.06,2025-07-03,2025-08-02,Fundamental analyzing middleware,247aa48ff4d9c6371a7bac6921702cc9,approved,False,
588,INV-202512-000588,654.0,36,5,7378839.12,2025-12-19,2026-01-18,Sharable tertiary open architecture,6a23e96085d7cc9ee2e6ab7e74f716b3,paid,False,
589,INV-202512-000589,655.0,36,5,2625254.19,2025-12-31,2026-01-30,Exclusive bottom-line adapter,eea88ffb81a36d63774804420c28e50f,approved,False,
590,INV-202508-000590,656.0,36,4,5140869.07,2025-08-27,2025-09-26,Switchable radical projection,a3fd23b338a9d91fab046b60688fda19,approved,False,
591,INV-202603-000591,657.0,40,3,2765764.86,2026-03-07,2026-04-06,Team-oriented 6thgeneration analyzer,029f8b939d28b5418c609c0c4c4a1a4c,paid,False,
592,INV-202506-000592,659.0,40,4,723199.96,2025-06-09,2025-07-09,Self-enabling system-worthy support,d30a42d5a7afba527fbd702033b00456,approved,False,
593,INV-202509-000593,660.0,40,2,1152555.62,2025-09-27,2025-10-27,Robust multi-tasking hardware,e2ba006905e392460166f16227f1c8fe,approved,False,
594,INV-202603-000594,661.0,40,3,1209476.85,2026-03-13,2026-04-12,Monitored solution-oriented workforce,ef1a433abb3615c75c5b0830d34f1a33,paid,False,
595,INV-202601-000595,662.0,40,4,2943105.76,2026-01-20,2026-02-19,Compatible value-added core,3599b06a60345c3ec44df181cf01354e,approved,False,
596,INV-202508-000596,663.0,40,1,4639662.65,2025-08-07,2025-09-06,Phased foreground collaboration,29d37f91e6f9b74d605d93f478d5a6bb,approved,False,
597,INV-202601-000597,664.0,40,6,1601196.88,2026-01-17,2026-02-16,Business-focused heuristic synergy,b2a3e889791036d72d24cdcdf3f35c04,paid,False,
598,INV-202512-000598,665.0,40,7,1320598.09,2025-12-13,2026-01-12,Quality-focused demand-driven open architecture,7b33372056440ea7ae3cb549328ade9f,approved,False,
599,INV-202506-000599,666.0,40,2,1190006.4,2025-06-02,2025-07-02,Inverse foreground groupware,367dfa71e8f00ef36d5f0a9b0f88616d,approved,False,
600,INV-202507-000600,667.0,40,8,3613574.3,2025-07-19,2025-08-18,Phased 5thgeneration ability,98cae4596b1d2de3f6ec2cd0acb22780,approved,False,
601,INV-202603-000601,668.0,40,4,4845212.79,2026-03-06,2026-04-05,Face-to-face next generation orchestration,5a5df95e30ec73d160a0ea93326bca40,paid,False,
602,INV-202512-000602,669.0,18,3,4966485.52,2025-12-28,2026-01-27,Operative 24hour methodology,8deb177fac3f650e0bb85aa5a1cb08f6,paid,False,
603,INV-202506-000603,671.0,18,7,9516633.32,2025-06-03,2025-07-03,Persevering local installation,073f5e86f2f2c0960d43d447510b193e,paid,False,
604,INV-202511-000604,672.0,18,3,5957685.09,2025-11-17,2025-12-17,Intuitive secondary moratorium,d8c5db33898f01cea6c52bee879fb2df,approved,False,
605,INV-202508-000605,673.0,18,2,6236396.6,2025-08-08,2025-09-07,Devolved impactful middleware,505f2fb96ba95477c28a9ccb901b63b0,approved,False,
606,INV-202505-000606,674.0,31,1,1285329.15,2025-05-11,2025-06-10,Open-source leadingedge analyzer,4ca87025ef9e736de9e3937fa405860a,approved,False,
607,INV-202601-000607,675.0,31,4,5366612.6,2026-01-04,2026-02-03,Distributed tertiary customer loyalty,c0e3031f249b9c2296611c0ae0bbc2f0,approved,False,
608,INV-202504-000608,676.0,31,8,2831063.28,2025-04-03,2025-05-03,Reverse-engineered well-modulated interface,dbe91a10b0e5c0bffb2153fd1d23d313,paid,False,
609,INV-202603-000609,677.0,31,7,2875101.38,2026-03-19,2026-04-18,Inverse methodical attitude,f75c2ad08c48858eafe07de28a765321,paid,False,
610,INV-202506-000610,679.0,31,5,2856645.17,2025-06-10,2025-07-10,Front-line stable projection,5ce39a70ee91f46071775eee46bee8b7,approved,False,
611,INV-202506-000611,681.0,31,3,5259061.88,2025-06-08,2025-07-08,Customizable grid-enabled functionalities,760791da17e07dcad58ca4dd18c13110,paid,False,
612,INV-202504-000612,682.0,31,3,620628.02,2025-04-28,2025-05-28,Object-based user-facing secured line,e072a9703739310006d96edcff017132,approved,False,
613,INV-202509-000613,683.0,31,7,3373306.88,2025-09-16,2025-10-16,Virtual bottom-line circuit,2c300f5213a7cdc1c4fbb10d0c20f3d8,approved,False,
614,INV-202503-000614,684.0,31,1,4076051.0,2025-03-20,2025-04-19,Re-contextualized tertiary application,03ec969bb14ebedd0c9def37c0c28fe3,approved,False,
615,INV-202507-000615,685.0,31,8,2520089.43,2025-07-17,2025-08-16,Balanced next generation emulation,c3ab16b97b3f359b5df86837d1235e87,approved,False,
616,INV-202510-000616,686.0,24,4,3519921.4,2025-10-06,2025-11-05,Multi-lateral context-sensitive collaboration,cb54c1215ed2215d4419186b3cb28218,approved,False,
617,INV-202508-000617,687.0,24,4,4506116.37,2025-08-07,2025-09-06,Upgradable dedicated analyzer,c54bfa55f613a91981fba4653809a9cd,approved,False,
618,INV-202508-000618,688.0,24,8,4955863.59,2025-08-28,2025-09-27,Enhanced systemic middleware,46c7e86323f511b6709b0810ec12d003,paid,False,
619,INV-202509-000619,690.0,24,7,3448795.48,2025-09-10,2025-10-10,Fundamental didactic approach,f333bfbf45fa18a9a8d0119822bb7864,approved,False,
620,INV-202508-000620,691.0,24,4,8367585.69,2025-08-23,2025-09-22,Centralized disintermediate access,c25922cc20f66c93467b53d647ced457,approved,False,
621,INV-202512-000621,692.0,26,6,1888484.74,2025-12-15,2026-01-14,Front-line national moderator,92ae6568f404ef597e1efa8382185f7d,paid,False,
622,INV-202512-000622,693.0,26,7,1803649.99,2025-12-16,2026-01-15,Business-focused logistical circuit,ea92220646da8820f15e1a8ebcaf891f,approved,False,
623,INV-202510-000623,694.0,26,3,4017247.92,2025-10-23,2025-11-22,Decentralized logistical infrastructure,d7ca0ec39a5a4db2187ab2e6d52a6608,paid,False,
624,INV-202511-000624,695.0,26,5,2771184.31,2025-11-13,2025-12-13,Visionary 24/7 emulation,ef595cc210275f3491de2531aaa87bfc,paid,False,
625,INV-202509-000625,696.0,26,6,5176380.31,2025-09-11,2025-10-11,Secured value-added orchestration,8171d370291db619d5f8a59259e189fe,paid,False,
626,INV-202510-000626,697.0,26,7,970559.31,2025-10-21,2025-11-20,Fully-configurable exuding access,6b3119975fcd21480147da96c17f190f,approved,False,
627,INV-202509-000627,699.0,26,3,4016916.76,2025-09-11,2025-10-11,Re-engineered systemic project,0c66448e621ffea6ddd0fb0366dccdbb,approved,False,
628,INV-202601-000628,701.0,26,7,3047454.51,2026-01-19,2026-02-18,Focused zero tolerance application,df612acc63587197a0ce818b666c9699,paid,False,
629,INV-202512-000629,702.0,26,7,1694447.69,2025-12-31,2026-01-30,Intuitive grid-enabled orchestration,47130ec7e51248f83cc96b1df46fd55f,approved,False,
630,INV-202601-000630,703.0,26,3,4484957.96,2026-01-05,2026-02-04,Total cohesive function,330e18c9ac0aac04128e7d9041c5428f,paid,False,
631,INV-202504-000631,704.0,26,1,2608509.84,2025-04-28,2025-05-28,Programmable zero-defect secured line,1bfc308505a5b99d4fc49849717c6900,approved,False,
632,INV-202507-000632,705.0,68,1,3450765.8,2025-07-20,2025-08-19,Multi-lateral tangible groupware,7846c82bc7bb017dcc79453558e719b4,approved,False,
633,INV-202505-000633,706.0,68,6,2431804.86,2025-05-05,2025-06-04,Stand-alone bandwidth-monitored policy,d2f70269ece27b2c675b58be85c55571,approved,False,
634,INV-202505-000634,707.0,68,2,1920943.55,2025-05-03,2025-06-02,Total system-worthy throughput,f3c8dde2151a7acbbef93d0f5cfe6288,approved,False,
635,INV-202509-000635,708.0,56,8,370014.23,2025-09-07,2025-10-07,Decentralized systemic flexibility,45be1239be4a08283a0177501640c822,paid,False,
636,INV-202508-000636,709.0,56,5,429501.48,2025-08-25,2025-09-24,Optimized homogeneous standardization,7206c90af38238f1f3073c4af398cd93,approved,False,
637,INV-202508-000637,710.0,56,3,671062.94,2025-08-18,2025-09-17,Open-source directional budgetary management,807fc39bcb3b8728f31cf00236f1f046,approved,False,
638,INV-202602-000638,711.0,56,7,641641.1,2026-02-27,2026-03-29,Vision-oriented heuristic matrix,81a5fd5562b9d679ecd539dbb1f46998,approved,False,
639,INV-202509-000639,712.0,56,5,577414.47,2025-09-04,2025-10-04,Polarized tangible frame,9a06ad1e73c3878b0b4a7137991d525b,approved,False,
640,INV-202601-000640,714.0,56,8,998745.9,2026-01-05,2026-02-04,Business-focused stable secured line,4e9f04959c0955b49dc9782d1238661f,approved,False,
641,INV-202511-000641,715.0,56,7,337884.1,2025-11-30,2025-12-30,Customer-focused dedicated contingency,5f5d8c9dca89d65ffb63ef2b1f3a245c,paid,False,
642,INV-202504-000642,716.0,56,1,556268.74,2025-04-27,2025-05-27,Focused composite time-frame,7a4961bccf9ff9e27e9fd374301bf792,paid,False,
643,INV-202512-000643,717.0,56,8,741427.68,2025-12-17,2026-01-16,Reactive tertiary synergy,58188f8683326735bfcfdfc043c23eec,paid,False,
644,INV-202510-000644,718.0,74,1,431676.33,2025-10-05,2025-11-04,Stand-alone cohesive array,ed72755ddfc74ba445f28ee8118454d2,paid,False,
645,INV-202512-000645,720.0,74,2,2024841.72,2025-12-22,2026-01-21,Cloned tangible capability,37e82c5ddbf3e8effdbfc044f87f8089,approved,False,
646,INV-202601-000646,721.0,74,5,1541436.01,2026-01-01,2026-01-31,Persevering content-based algorithm,cc52e5e2ca21c89c8a85091411740c4e,approved,False,
647,INV-202602-000647,723.0,74,4,1263750.26,2026-02-22,2026-03-24,Operative dedicated website,349c8bd87dd987f83ca0f49e0f668202,approved,False,
648,INV-202506-000648,724.0,74,2,882129.07,2025-06-22,2025-07-22,Cloned hybrid open system,7994914fa4e9ccf0342870138a291457,approved,False,
649,INV-202506-000649,725.0,74,1,557956.22,2025-06-04,2025-07-04,Organized attitude-oriented website,277668ca032a36047d538ecb0558c0a6,paid,True,dilution
650,INV-202504-000650,726.0,74,3,1610339.04,2025-04-21,2025-05-21,Intuitive bi-directional emulation,af4d9f9629ecaf4c9b9c60edc7687731,approved,False,
651,INV-202510-000651,727.0,83,5,1025325.35,2025-10-15,2025-11-14,De-engineered modular secured line,482ad79608fe032483a9aa411a50fd63,paid,False,
652,INV-202604-000652,729.0,83,3,3107138.77,2026-04-24,2026-05-24,Visionary client-server frame,d02ee16b151ed547bcfb1541287923c5,approved,False,
653,INV-202601-000653,730.0,83,5,354715.98,2026-01-01,2026-01-31,Fully-configurable client-driven time-frame,bb92de20e6e2510a5e05c89dd73193e6,paid,False,
654,INV-202504-000654,732.0,41,8,3168270.28,2025-04-26,2025-05-26,Managed leadingedge orchestration,6938923ffd78bc34aa92197f4c34e9c1,approved,False,
655,INV-202506-000655,733.0,41,1,1265451.4,2025-06-29,2025-07-29,Assimilated secondary methodology,7bf55ba8c1e0abccc98646622dec190c,paid,False,
656,INV-202507-000656,734.0,41,8,534336.96,2025-07-09,2025-08-08,Versatile client-driven support,9a164a7a67d663ecfe1cf3b47782ffa0,approved,False,
657,INV-202509-000657,735.0,41,5,3397466.42,2025-09-06,2025-10-06,Horizontal exuding knowledgebase,64c44bee7a738db12129d44e17d49ca6,approved,False,
658,INV-202602-000658,736.0,41,7,1632273.08,2026-02-20,2026-03-22,Re-contextualized fault-tolerant concept,ff91591896117bb7032cc64f5a15a60b,approved,True,dilution
659,INV-202508-000659,737.0,41,6,3516623.41,2025-08-12,2025-09-11,Public-key discrete capacity,d901920e39a29ad12f4087dd686fd925,approved,False,
660,INV-202503-000660,738.0,41,5,1379861.44,2025-03-30,2025-04-29,Organized actuating knowledgebase,730be79eeac75b5e8d2e56e5b6f07f53,approved,False,
661,INV-202509-000661,741.0,41,6,1209134.67,2025-09-30,2025-10-30,Universal motivating artificial intelligence,31ab0b99ec60c739de3063f0d1f54d4b,paid,False,
662,INV-202512-000662,742.0,41,3,1468600.67,2025-12-15,2026-01-14,Synergized uniform structure,8725eb814d4c863ba72c65132bb29b32,approved,False,
663,INV-202508-000663,743.0,70,2,769732.83,2025-08-18,2025-09-17,Reactive even-keeled functionalities,2c75e40f23643581a7a4ec352c3a85b3,approved,False,
664,INV-202507-000664,744.0,70,2,1401590.01,2025-07-17,2025-08-16,Ergonomic real-time neural-net,14d3a7339a3d131272d2538c8b0c3ae1,approved,False,
665,INV-202602-000665,745.0,70,6,990861.32,2026-02-14,2026-03-16,Implemented needs-based forecast,2f4a76bd0e04dbb33fc3356cb660a06f,paid,False,
666,INV-202601-000666,746.0,70,8,1207763.67,2026-01-22,2026-02-21,Customizable high-level firmware,e1841c1d78921606b827a1f93b3f08f5,approved,False,
667,INV-202601-000667,747.0,70,2,788788.45,2026-01-08,2026-02-07,Cloned content-based capability,afcdc07bf4fc307b4ffb23506337a180,approved,False,
668,INV-202512-000668,748.0,59,2,2358550.82,2025-12-12,2026-01-11,Reverse-engineered regional website,2ffc6851b51ec9f5edf3179d301d8ab2,approved,False,
669,INV-202602-000669,749.0,59,4,602591.66,2026-02-21,2026-03-23,Multi-channeled uniform knowledgebase,886305ba7128cb9ab63156348f88a56a,approved,False,
670,INV-202505-000670,750.0,59,6,1421605.64,2025-05-29,2025-06-28,Cross-platform foreground initiative,9c8b08ece2f075c58c74cf204d0895d1,paid,False,
671,INV-202504-000671,751.0,59,8,797934.14,2025-04-27,2025-05-27,Profit-focused asynchronous instruction set,a816299b28610abf80f149658eca338a,paid,False,
672,INV-202510-000672,752.0,59,1,1122823.82,2025-10-18,2025-11-17,Sharable transitional installation,a2df0f292a73b38fd769de6fc425b1b3,paid,False,
673,INV-202508-000673,753.0,59,3,719687.31,2025-08-12,2025-09-11,Assimilated fault-tolerant adapter,879230e59c8ca4d0d9f3334b7494c982,approved,False,
674,INV-202508-000674,754.0,59,4,1236211.62,2025-08-01,2025-08-31,Customer-focused national policy,dedbc515d16a2e54d71092b453b7cae8,approved,False,
675,INV-202506-000675,755.0,59,3,1038872.41,2025-06-18,2025-07-18,Re-contextualized foreground workforce,4d714daf4c4211b9365339fc9d49e33d,approved,False,
676,INV-202510-000676,756.0,59,7,288569.25,2025-10-16,2025-11-15,Stand-alone contextually-based challenge,f41114a616543c80a9a31b7b4a6f6cd4,paid,False,
677,INV-202601-000677,757.0,59,5,683305.63,2026-01-25,2026-02-24,Managed 4thgeneration forecast,5520dadbdf1c79819f6c7feeb137065e,approved,False,
678,INV-202505-000678,758.0,59,4,2403121.52,2025-05-21,2025-06-20,Visionary real-time Graphic Interface,611d76604caa8f4441e766898e1bc416,paid,False,
679,INV-202508-000679,759.0,59,5,1728386.0,2025-08-29,2025-09-28,Down-sized modular moderator,3532737609519b3119e684d06848ed69,approved,False,
680,INV-202503-000680,760.0,59,2,1084631.37,2025-03-19,2025-04-18,Expanded grid-enabled encryption,c0822a5397582c0def020dcbaff8e87f,paid,False,
681,INV-202511-000681,761.0,59,7,2158254.15,2025-11-15,2025-12-15,Grass-roots zero administration knowledgebase,996ffe5381dc0fb9682fe64fbd608695,approved,False,
682,INV-202602-000682,762.0,59,8,1105335.09,2026-02-02,2026-03-04,Customer-focused executive architecture,d5f84fc365ad2ab5dacee03c810d1554,approved,False,
683,INV-202507-000683,764.0,59,6,1167526.25,2025-07-09,2025-08-08,Down-sized needs-based structure,4acb7103d9aad024ce355b287d72242e,paid,False,
684,INV-202506-000684,765.0,59,5,1154739.32,2025-06-04,2025-07-04,Polarized hybrid open architecture,b86d2827f853c1747fc26f9272cb8ea7,approved,False,
685,INV-202510-000685,766.0,59,8,1312499.66,2025-10-04,2025-11-03,Seamless optimizing Graphic Interface,2ce53d7a59dabe07cd29ed63f4590ccb,approved,False,
686,INV-202505-000686,767.0,59,6,425419.61,2025-05-26,2025-06-25,Versatile actuating success,50fae3417c5545ad4beefc2f650918d8,paid,False,
687,INV-202601-000687,769.0,59,1,491507.63,2026-01-25,2026-02-24,Grass-roots multi-state extranet,8cd6525b4552459b1e4378775bf42d6e,approved,False,
688,INV-202510-000688,770.0,59,6,267239.85,2025-10-16,2025-11-15,Operative 24hour solution,0dab878d052da6ecd786f89407c57bdd,approved,False,
689,INV-202507-000689,771.0,59,8,252011.06,2025-07-15,2025-08-14,Open-source didactic neural-net,acbcbfc29019bddae0e06c026cf10058,approved,False,
690,INV-202504-000690,772.0,59,7,1338628.55,2025-04-26,2025-05-26,Phased uniform algorithm,ed57ba4b184ee8b2e8de26e90057d804,approved,False,
691,INV-202511-000691,773.0,59,7,1114184.89,2025-11-28,2025-12-28,Diverse grid-enabled data-warehouse,637ce9eaa7b3b7457e12c9c251301995,approved,False,
692,INV-202506-000692,774.0,85,3,1562079.32,2025-06-04,2025-07-04,Grass-roots national architecture,7eceda50e21ee29c40e3b13105d67d26,approved,False,
693,INV-202508-000693,775.0,85,2,1056127.11,2025-08-09,2025-09-08,Phased optimal capacity,0b21a303fbd3a0b41436c029049bedf0,approved,False,
694,INV-202601-000694,776.0,85,6,637306.49,2026-01-23,2026-02-22,Synergized encompassing structure,f23d8fa4dc063c4cff010ea6e7ccef14,approved,False,
695,INV-202512-000695,777.0,85,5,2519772.42,2025-12-29,2026-01-28,Distributed optimal customer loyalty,8a80e51d151dfa14559833c749fb841b,paid,False,
696,INV-202509-000696,778.0,85,8,2874236.17,2025-09-21,2025-10-21,Total intangible middleware,593e2f543b81c263af5ccc3b91d7dfcb,approved,True,dilution
697,INV-202509-000697,779.0,42,8,624747.17,2025-09-07,2025-10-07,Monitored bottom-line implementation,82bf236c2b61100b7e102514715da97a,approved,False,
698,INV-202601-000698,780.0,42,6,559403.15,2026-01-22,2026-02-21,Face-to-face multi-state flexibility,9ce20b44ff54745c36d5049ab5185144,paid,False,
699,INV-202506-000699,781.0,42,8,899206.63,2025-06-25,2025-07-25,Profit-focused heuristic project,97c109c02b71c5ad8b27fbc077978fe8,approved,False,
700,INV-202603-000700,782.0,42,5,807336.03,2026-03-02,2026-04-01,Front-line zero-defect middleware,f3819cedcadc538460a907bce0d06aa5,approved,False,
701,INV-202508-000701,783.0,42,7,461325.92,2025-08-08,2025-09-07,Down-sized bi-directional extranet,82300c0bee6957eb4c4b559579c38774,paid,False,
702,INV-202510-000702,784.0,42,5,98030.91,2025-10-31,2025-11-30,Switchable bi-directional support,7551ca6eba935ee33cef93eccd4f2f5e,approved,False,
703,INV-202602-000703,785.0,42,3,350743.48,2026-02-19,2026-03-21,Streamlined multimedia process improvement,be9dbfad0bce1bfcd4267f7b073eec98,approved,True,dilution
704,INV-202603-000704,786.0,42,1,932735.65,2026-03-24,2026-04-23,Progressive modular adapter,f64b6461685c9520aca4f30618dd750d,paid,False,
705,INV-202510-000705,787.0,42,6,773098.06,2025-10-14,2025-11-13,Expanded object-oriented standardization,57b292ea988871ee512a62a9ca62cd03,approved,False,
706,INV-202511-000706,790.0,81,8,529938.04,2025-11-29,2025-12-29,Down-sized coherent encryption,9fdd71224d957ae76d2cd95e4a3f7e7f,approved,False,
707,INV-202509-000707,791.0,81,6,486921.9,2025-09-19,2025-10-19,Function-based next generation policy,c4ec0943cba4899bcce97f7a42b53036,approved,False,
708,INV-202602-000708,794.0,81,4,439078.99,2026-02-13,2026-03-15,Exclusive transitional info-mediaries,455d42f970f16b6e1035bc80dba94797,paid,False,
709,INV-202506-000709,795.0,81,4,588214.18,2025-06-10,2025-07-10,Organic client-driven productivity,12596a8c202c78474cd9097e64cc9b6e,paid,False,
710,INV-202511-000710,796.0,81,6,827741.28,2025-11-17,2025-12-17,Streamlined grid-enabled Graphical User Interface,7908a400c5882b96841a2a053e5aafea,paid,False,
711,INV-202506-000711,797.0,81,3,633791.5,2025-06-24,2025-07-24,Compatible analyzing toolset,7e921093ff480e260eed12c1581f504a,paid,False,
712,INV-202507-000712,798.0,82,8,610730.48,2025-07-30,2025-08-29,Polarized maximized secured line,35432c32d53ded0f5fcf9c576d3cf417,paid,False,
713,INV-202511-000713,801.0,61,7,441460.35,2025-11-22,2025-12-22,Up-sized directional algorithm,42620788a353a887ca2e7e4205d401ee,approved,False,
714,INV-202509-000714,802.0,61,3,477552.43,2025-09-28,2025-10-28,Team-oriented value-added customer loyalty,ecc01af008ee2d3178438aacf201fe5e,approved,False,
715,INV-202505-000715,803.0,88,4,2651035.35,2025-05-02,2025-06-01,Configurable tangible encoding,96131844cc6b16cb1f1c81a825f74e98,approved,False,
716,INV-202505-000716,804.0,88,8,1048616.89,2025-05-26,2025-06-25,Advanced reciprocal implementation,77437238259dc60efa437fbc187f693e,paid,False,
717,INV-202508-000717,805.0,88,6,1614123.76,2025-08-20,2025-09-19,Enterprise-wide bottom-line circuit,b8b7fbeba319bad638775f1843e5a3da,paid,False,
718,INV-202504-000718,807.0,67,4,1940147.15,2025-04-18,2025-05-18,Extended 3rdgeneration archive,c6a4d0382513fc49d711736997d9504b,paid,False,
719,INV-202506-000719,808.0,67,1,682290.96,2025-06-22,2025-07-22,Optimized high-level parallelism,e2d9e2d09be8a40081f0ea07d291b11b,approved,False,
720,INV-202507-000720,809.0,67,4,1708787.18,2025-07-01,2025-07-31,Versatile user-facing circuit,65ff014d48e3b1884bc62b7f5e000351,approved,False,
721,INV-202509-000721,810.0,67,1,1742725.57,2025-09-11,2025-10-11,Ergonomic regional hierarchy,2006de22738b4ba73674b8cef4b85211,approved,False,
722,INV-202601-000722,811.0,67,1,1627772.66,2026-01-26,2026-02-25,Digitized actuating moratorium,7f8b76229352078b490257a1647d62bb,approved,False,
723,INV-202602-000723,812.0,67,2,512893.26,2026-02-06,2026-03-08,Up-sized 5thgeneration time-frame,2fb8a2eabec099cd445e8c20a27a41b4,approved,False,
724,INV-202504-000724,813.0,67,3,1036852.4,2025-04-27,2025-05-27,Virtual dynamic frame,e61481da74d101752ef7d00ed8baba8d,paid,False,
725,INV-202507-000725,814.0,67,8,763178.67,2025-07-05,2025-08-04,Visionary 4thgeneration approach,a89b013706aac4c30a657358eac74edc,approved,False,
726,INV-202505-000726,815.0,67,5,612323.82,2025-05-05,2025-06-04,Right-sized responsive strategy,04e7496aebb383e991496d3331e916f6,approved,False,
727,INV-202511-000727,816.0,67,3,1114652.19,2025-11-05,2025-12-05,Right-sized 24hour concept,46c089e49bc19c676ea6bfed2fafe428,paid,False,
728,INV-202506-000728,817.0,67,6,1464793.41,2025-06-08,2025-07-08,Diverse leadingedge software,2617c5977de521e5775c7e3dfbdf6793,paid,False,
729,INV-202510-000729,818.0,67,7,585127.23,2025-10-29,2025-11-28,Optional grid-enabled matrix,a1f01d9a64cce6372ccb69d3b9073e73,paid,False,
730,INV-202507-000730,819.0,67,6,591078.52,2025-07-01,2025-07-31,Intuitive zero administration time-frame,b3261fb41d1fc35f62e76545aa251697,approved,False,
731,INV-202507-000731,820.0,67,1,375757.41,2025-07-21,2025-08-20,Right-sized content-based access,84ac6defdba43b0792c5a3790f35027c,approved,False,
732,INV-202510-000732,821.0,52,1,490865.43,2025-10-08,2025-11-07,Persevering dedicated flexibility,f63084f75e4babc2e8efe3185ca1deb2,paid,False,
